simulation_id,sample_key,cell_id,time_trace,dis_to_target,simulation_file
20250717_015425_1.0,1,0,[1.00001    1.00008339 0.98565051 ... 1.04235322 1.02556425 1.03658002],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,1,[1.00001    1.00528045 1.02465165 ... 0.98841483 0.99371048 1.00574749],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,2,[1.00001    1.00312359 1.00641646 ... 1.01793295 0.99771261 1.00610859],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,3,[1.00001    1.01123146 0.98569387 ... 1.0417229  1.03264806 1.02669965],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,4,[1.00001    0.98321999 0.99928065 ... 1.04850841 1.03592181 1.0295126 ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,5,[1.00001    1.0129893  1.01846138 ... 1.04273408 1.04422355 1.02739225],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,6,[1.00001    0.99815537 0.99785007 ... 0.98447744 0.99397983 0.98523893],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,7,[1.00001    0.98119693 0.98298243 ... 1.01335573 1.00764728 1.01201288],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,8,[1.00001    1.01560097 1.0130138  ... 0.98444327 0.99656577 1.00957653],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,9,[1.00001    0.99638909 1.00845197 ... 1.01708651 1.0178301  1.01551005],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,10,[1.00001    1.0027583  1.00565344 ... 1.07217084 1.07964424 1.0716069 ],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,11,[1.00001    1.01492477 1.02544893 ... 1.05693128 1.04928914 1.041165  ],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,12,[1.00001    0.96841295 0.95017722 ... 1.04081495 1.049449   1.05870395],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,13,[1.00001    0.98922492 0.99014661 ... 0.95215875 0.93574724 0.93542047],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,14,[1.00001    0.99350473 1.00772725 ... 0.95636179 0.94962238 0.9253101 ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,15,[1.00001    0.99496634 0.98422771 ... 0.99739344 1.00704059 1.00329725],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,16,[1.00001    0.99559055 1.0157016  ... 0.95845064 0.97000072 0.98670844],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,17,[1.00001    0.99446286 0.98582689 ... 1.02930568 1.03811255 1.043319  ],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,18,[1.00001    1.00139963 0.98801363 ... 0.99110324 0.99634474 0.99663735],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,19,[1.00001    1.00282683 0.99905492 ... 0.99183879 0.99271844 0.99423173],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,20,[1.00001    1.00724539 1.01146097 ... 0.99262489 0.98738263 0.99105404],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,21,[1.00001    1.01619538 1.00654811 ... 1.02565457 1.00675547 0.9969204 ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,22,[1.00001    1.01145736 0.99978917 ... 1.02090122 1.01840694 1.01002862],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,23,[1.00001    0.99912069 0.99299576 ... 0.98620209 0.99841934 0.99802236],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,24,[1.00001    1.01498289 1.01759148 ... 0.94421087 0.96158401 0.97287907],0,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,25,[1.00001    0.98810572 0.97935223 ... 0.96108958 0.96662703 0.9736197 ],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,26,[1.00001    0.99949865 0.99965001 ... 1.04793753 1.05707124 1.05092024],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,27,[1.00001    1.00675595 0.99240912 ... 1.02773429 1.03132057 1.03969178],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,28,[1.00001    0.98968858 1.00720229 ... 1.01100027 1.00289992 0.99456624],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,29,[1.00001    1.01108928 1.0153262  ... 1.04549881 1.04995349 1.03670139],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,30,[1.00001    1.00178158 0.99174362 ... 0.98596387 0.97479493 0.96834073],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,31,[1.00001    1.01355288 1.00024714 ... 0.9860406  0.99012716 0.97420487],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,32,[1.00001    1.00428916 0.99662068 ... 0.9788802  0.99857304 0.99572544],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,33,[1.00001    0.99291119 1.00327247 ... 0.94212481 0.95757434 0.94206566],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,34,[1.00001    1.01703509 1.00641533 ... 0.92695175 0.93786664 0.93877801],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,35,[1.00001    1.01061935 1.01216027 ... 0.9703163  0.95762691 0.95181383],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,36,[1.00001    0.99470322 0.99766664 ... 0.98873502 1.00005774 1.01124512],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,37,[1.00001    1.01205671 1.03261623 ... 1.02126523 1.01726613 1.02502347],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,38,[1.00001    1.00848243 1.00445368 ... 0.97080738 0.99205694 0.98396036],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,39,[1.00001    0.98406701 0.99487127 ... 0.9417713  0.94308605 0.94033307],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,40,[1.00001    0.99197031 1.00022783 ... 1.00745622 1.00660826 0.99025199],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,41,[1.00001    0.98784923 1.01698878 ... 0.92777633 0.94957429 0.94883753],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,42,[1.00001    0.98901859 0.99270785 ... 0.95402344 0.9465158  0.93636931],5,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,43,[1.00001    0.99881091 1.00556039 ... 0.97276031 0.96495648 0.97725434],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,44,[1.00001    1.00464562 1.01249584 ... 1.07891287 1.06900341 1.06853913],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,45,[1.00001    0.99041415 1.01454019 ... 0.92928813 0.94340243 0.9571909 ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,46,[1.00001    1.01573355 1.02771745 ... 0.98301523 0.9951926  1.01336587],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,47,[1.00001    0.99346618 1.00008215 ... 0.98293923 0.9838585  0.98534551],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_015425_1.0,1,48,[1.00001    0.99976497 0.98321989 ... 0.95969538 0.96140796 0.97991156],5,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25.h5
20250717_024042_1.0,1,0,[1.00001    0.99315937 0.99027598 ... 0.96192314 0.95440466 0.9546453 ],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,1,[1.00001    0.99863456 1.01609329 ... 0.9585297  0.96380716 0.97970624],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,2,[1.00001    0.99524184 0.9949245  ... 1.04916366 1.05048947 1.04621758],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,3,[1.00001    0.99287685 1.00691294 ... 0.93321596 0.92675934 0.91986373],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,4,[1.00001    1.00338746 1.0078427  ... 1.01135563 1.01045285 1.02084723],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,5,[1.00001    1.01086075 0.99686605 ... 1.0154516  1.00743441 1.00570999],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,6,[1.00001    1.00741981 1.01170544 ... 1.02985882 1.02188845 1.01955004],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,7,[1.00001    1.01355837 1.00671815 ... 0.96079133 0.95620306 0.94485629],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,8,[1.00001    0.99204406 1.00526048 ... 1.00094722 1.00176756 0.993513  ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,9,[1.00001    0.99317248 0.9942602  ... 1.01431813 1.0025088  0.99658866],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,10,[1.00001    0.99379034 0.9896239  ... 0.96675258 0.98077289 0.97711638],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,11,[1.00001    1.01240489 1.02371815 ... 1.06437275 1.07010019 1.07235904],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,12,[1.00001    1.00147475 1.00824471 ... 1.0211961  1.01895643 1.00181756],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,13,[1.00001    0.9993703  0.99853219 ... 1.00452334 1.00223602 0.9987673 ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,14,[1.00001    0.98644182 0.97689969 ... 0.96576051 0.95931361 0.93435786],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,15,[1.00001    1.01334392 1.03365215 ... 0.98782913 0.9944649  0.99503911],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,16,[1.00001    1.00325513 1.0183712  ... 1.05556136 1.04788759 1.03793259],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,17,[1.00001    1.00103109 1.00353961 ... 1.04557873 1.05667387 1.05534773],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,18,[1.00001    0.99773574 0.99334291 ... 1.06318137 1.06671533 1.08457585],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,19,[1.00001    0.99574634 0.99903293 ... 0.9725399  0.97449507 0.96886397],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,20,[1.00001    1.02025298 1.0207941  ... 1.01494476 1.02791017 1.0252181 ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,21,[1.00001    1.00862848 1.01055511 ... 1.08880878 1.09042012 1.09194621],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,22,[1.00001    0.99346912 1.00581621 ... 1.08069791 1.08462771 1.07702683],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,23,[1.00001    1.00141012 1.00709993 ... 1.01799669 0.99417107 0.99722422],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,24,[1.00001    1.00696222 1.01297766 ... 1.03853089 1.04853283 1.04468811],0,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,25,[1.00001    0.99146574 0.9923119  ... 1.02953791 1.0148776  1.02082311],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,26,[1.00001    1.01679842 1.0318593  ... 1.03717703 1.04848077 1.04744381],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,27,[1.00001    1.01743673 1.01964919 ... 1.03943807 1.04301195 1.05304035],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,28,[1.00001    0.98416009 0.98266395 ... 0.98882788 0.97229952 0.95769271],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,29,[1.00001    0.98950815 0.98160779 ... 1.03825183 1.04597646 1.04664989],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,30,[1.00001    0.99745405 0.99818255 ... 0.94748639 0.96361209 0.95832669],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,31,[1.00001    1.01715136 1.01738402 ... 0.97641325 0.98659958 1.00026576],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,32,[1.00001    0.98527311 0.97696404 ... 1.00535355 1.01297708 1.01251136],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,33,[1.00001    0.97918761 0.96129028 ... 1.00664321 1.00393477 1.00507663],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,34,[1.00001    0.98833783 0.99445715 ... 0.98983577 0.98649071 0.981061  ],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,35,[1.00001    0.99699016 1.00460605 ... 0.9172062  0.92371586 0.92581933],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,36,[1.00001    0.9890598  0.98822852 ... 0.93202783 0.92924086 0.91720967],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,37,[1.00001    1.00852077 0.99307585 ... 0.97169457 0.98569956 0.99178757],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,38,[1.00001    0.99476672 0.99158473 ... 0.99692362 1.0072203  1.01013247],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,39,[1.00001    1.00089047 1.0041392  ... 1.06564637 1.05124936 1.04904417],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,40,[1.00001    0.99670798 0.99077265 ... 1.04231108 1.046797   1.04950758],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,41,[1.00001    0.98757208 0.98577625 ... 1.03722862 1.03404661 1.0244853 ],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,42,[1.00001    0.98240882 0.98222142 ... 0.96867901 0.97685608 0.98763267],5,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,43,[1.00001    0.98854883 0.98656399 ... 0.93318489 0.94890905 0.94744732],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,44,[1.00001    0.99187543 0.97661534 ... 0.9913209  0.97956765 0.98165965],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,45,[1.00001    1.00261131 1.01197268 ... 0.99791779 1.00926528 1.01513977],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,46,[1.00001    1.01825774 1.00552511 ... 1.03312188 1.04156558 1.04965145],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,47,[1.00001    0.98372617 0.97425061 ... 1.07158956 1.06633976 1.07541309],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_024042_1.0,1,48,[1.00001    1.01515005 1.01873683 ... 1.04244332 1.03813528 1.04346277],5,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_10.h5
20250717_102015_1.0,1,0,[1.00001    1.00748942 1.00848845 ... 1.10974433 1.0960368  1.09983619],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,1,[1.00001    1.00689502 1.01313132 ... 0.99915421 1.01130088 0.99696714],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,2,[1.00001    1.00433557 1.00751687 ... 1.01755818 0.99888148 0.97331743],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,3,[1.00001    1.0136041  1.00812435 ... 1.01218759 1.02114257 1.02194531],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,4,[1.00001    1.00014806 0.98744062 ... 1.00588186 1.00211787 1.00924612],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,5,[1.00001    0.99398339 1.00508094 ... 0.9969539  1.00529902 0.99125849],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,6,[1.00001    0.99609188 0.98520917 ... 0.94239505 0.95310194 0.94762601],4,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,7,[1.00001    1.00241856 0.98542752 ... 0.99711186 1.0023369  0.99107777],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,8,[1.00001    0.99572969 0.99300612 ... 0.95808117 0.95434229 0.95096934],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,9,[1.00001    1.00192247 1.01277346 ... 0.96981076 0.98384884 0.98419318],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,10,[1.00001    0.98499707 0.98076033 ... 1.00170117 0.98516158 0.9743875 ],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,11,[1.00001    1.00268832 1.00349401 ... 0.95163344 0.9484694  0.9378413 ],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,12,[1.00001    1.00414935 0.99563168 ... 0.93333371 0.93641454 0.93435185],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,13,[1.00001    0.9918517  1.00119755 ... 1.02916032 1.00369746 0.98480594],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,14,[1.00001    1.033518   1.03157977 ... 1.1076061  1.11120059 1.10922063],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,15,[1.00001    0.9954766  0.98345905 ... 0.95848439 0.94634905 0.96060177],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,16,[1.00001    0.98136329 0.97220737 ... 1.02478994 1.03795074 1.04379598],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,17,[1.00001    0.993871   0.98593819 ... 0.9436901  0.94929545 0.93334129],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,18,[1.00001    0.98642592 0.97910375 ... 1.0510414  1.07224718 1.06162857],1,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,19,[1.00001    0.99844835 1.00644185 ... 1.00476773 1.01368756 1.01397913],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,20,[1.00001    1.00263713 1.00635009 ... 1.05911513 1.06372012 1.06584829],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,21,[1.00001    1.00520087 1.00660216 ... 1.04474179 1.0563942  1.06651356],3,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
20250717_102015_1.0,1,22,[1.00001    0.98575932 0.95642395 ... 1.07818617 1.05953088 1.0572126 ],2,sim_data__stimMag_0.50_beta_0.40_noise_0.010_kcross_0.0050_nSamples_25_100.h5
